X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
33;83;0;0;0;1;0;7;1;1;0;0;380
30;95;0;0;0;4;0;7;0;0;1;0;78
20;113;0;0;0;2;1;5;0;0;0;0;640
130;94;0;5;0;3;0;7;1;0;1;0;370
100;84;0;0;0;4;0;6;0;0;0;0;7
80;85;0;0;1;0;0;6;0;0;0;0;480
290;96;0;5;0;2;1;5;1;0;0;0;360
140;106;0;5;0;3;0;4;0;0;0;0;9
300;87;0;3;0;2;1;6;1;0;0;1;190
300;97;0;4;0;1;0;5;0;1;1;1;470
200;93;0;0;1;3;0;7;1;0;1;0;180
50;86;0;0;0;3;1;6;1;1;0;0;260
250;98;0;0;0;0;0;6;1;1;0;0;260
100;86;0;0;0;4;0;5;0;1;0;0;200
100;93;0;4;0;3;0;7;1;1;1;0;10
350;107;0;4;0;4;1;7;0;1;0;1;220
360;90;0;0;0;4;1;7;0;0;0;0;170
250;99;0;0;0;4;0;6;0;1;0;1;51
200;97;0;0;0;3;0;5;0;1;0;2;1000
300;93;0;0;0;2;0;6;1;1;1;0;110
300;91;0;4;0;0;0;7;0;0;0;0;16
200;88;0;4;1;0;0;7;0;0;1;0;570
450;96;0;5;0;2;1;5;0;1;0;1;170
40;85;0;5;0;1;0;7;1;1;0;0;93
200;102;0;4;0;3;0;6;1;0;1;0;700
450;87;0;0;0;0;0;7;1;1;1;1;700
200;93;0;4;0;1;0;7;0;1;1;1;160
150;86;0;3;0;1;0;7;0;1;1;0;340
50;92;0;0;0;4;0;6;1;1;0;0;180
120;100;0;0;0;1;0;8;0;1;0;0;170
30;87;0;0;0;3;0;7;0;1;0;0;120
140;117;0;5;0;3;0;4;0;1;0;4;300
350;101;0;0;0;3;0;6;0;1;0;0;340
200;92;0;4;0;3;0;5;0;1;0;0;220
120;90;0;0;0;2;1;5;1;1;0;0;230
90;95;0;4;0;4;1;6;1;1;0;0;210
300;94;0;4;0;1;0;6;0;0;0;0;1000
100;92;0;3;0;3;0;6;1;1;0;0;62
280;123;0;0;0;2;0;7;1;1;1;0;140
50;87;0;4;0;3;0;7;0;1;1;0;150
120;97;0;0;0;4;1;5;1;1;0;0;360
150;87;0;4;0;2;1;6;1;1;1;0;670
240;84;0;4;0;3;1;7;1;1;1;0;130
150;90;0;4;1;3;0;7;1;0;0;0;470
400;98;0;0;0;1;0;7;0;1;0;0;260
180;81;0;4;1;2;1;6;0;1;0;0;260
35;95;0;0;0;3;1;6;0;0;0;0;1
300;110;0;0;0;2;1;7;0;1;1;3;140
